Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
2017,1,1,12,30,12.6,0.85,0.087,0.67,104,918,685,0,0,0.9,104,918,0,685,0.28,44.75,50.77,0.95,0.13,967,0.9,21,3.6,,,,,,,,,,,,,,,,,,
2017,1,1,13,30,13.3,0.85,0.085,0.67,103,923,693,0,1,0.6,103,923,0,693,0.28,41.98,50.31,0.95,0.13,966,0.9,21,3.6,,,,,,,,,,,,,,,,,,
2017,1,1,14,30,13.7,0.82,0.082,0.67,98,904,631,0,2,0.4,312,50,0,341,0.281,40.23,53.89,0.95,0.13,966,0.9,21,3.6,,,,,,,,,,,,,,,,,,
2017,1,1,15,30,13.6,0.8,0.077,0.67,88,857,506,0,2,0.1,263,37,0,281,0.28,39.69,60.8,0.94,0.13,966,0.9,22,3.7,,,,,,,,,,,,,,,,,,
2017,1,1,16,30,12.8,0.77,0.075,0.67,73,749,329,0,3,-0.1,187,21,0,194,0.28,41.17,70.05,0.94,0.13,966,0.9,23,3.7,,,,,,,,,,,,,,,,,,
2017,1,1,17,30,10.8,0.74,0.074,0.67,48,505,129,0,2,0,16,0,0,16,0.281,47.21,80.79,0.94,0.13,966,0.8,27,3,,,,,,,,,,,,,,,,,,
2017,1,1,18,30,8.4,0.74,0.074,0.67,0,0,0,0,1,0.2,0,0,0,0,0.282,56.41,92.67,0.94,0.13,967,0.8,31,2.5,,,,,,,,,,,,,,,,,,
2017,1,1,19,30,7.5,0.74,0.073,0.67,0,0,0,0,0,0.5,0,0,0,0,0.282,61.08,105.1,0.94,0.13,967,0.8,31,2.8,,,,,,,,,,,,,,,,,,
2017,1,1,20,30,6.5,0.76,0.072,0.67,0,0,0,0,0,0.7,0,0,0,0,0.282,66.56,117.95,0.94,0.13,968,0.8,29,2.5,,,,,,,,,,,,,,,,,,
2017,1,1,21,30,5.6,0.79,0.071,0.67,0,0,0,0,0,0.8,0,0,0,0,0.281,71.43,131.09,0.94,0.13,968,0.7,27,2.1,,,,,,,,,,,,,,,,,,
2017,1,1,22,30,4.8,0.83,0.069,0.67,0,0,0,0,0,0.9,0,0,0,0,0.281,75.86,144.38,0.94,0.13,968,0.7,23,1.8,,,,,,,,,,,,,,,,,,
2017,1,1,23,30,4.1,0.86,0.07,0.67,0,0,0,0,0,0.9,0,0,0,0,0.279,79.74,157.72,0.94,0.13,968,0.7,17,1.6,,,,,,,,,,,,,,,,,,
2017,1,2,0,30,3.6,0.87,0.072,0.67,0,0,0,0,0,0.9,0,0,0,0,0.276,82.52,170.7,0.94,0.13,968,0.7,12,1.5,,,,,,,,,,,,,,,,,,
2017,1,2,1,30,3.2,0.86,0.074,0.67,0,0,0,0,0,0.9,0,0,0,0,0.274,84.76,173.32,0.94,0.13,968,0.7,6,1.5,,,,,,,,,,,,,,,,,,
2017,1,2,2,30,2.8,0.84,0.077,0.67,0,0,0,0,0,0.8,0,0,0,0,0.273,86.91,160.73,0.94,0.13,967,0.7,91,1.5,,,,,,,,,,,,,,,,,,
2017,1,2,3,30,2.5,0.81,0.078,0.67,0,0,0,0,0,0.8,0,0,0,0,0.272,88.54,147.41,0.94,0.13,967,0.7,357,1.6,,,,,,,,,,,,,,,,,,
2017,1,2,4,30,2.3,0.78,0.077,0.67,0,0,0,0,0,0.8,0,0,0,0,0.271,89.58,134.09,0.94,0.13,967,0.7,356,1.7,,,,,,,,,,,,,,,,,,
2017,1,2,5,30,2,0.75,0.077,0.67,0,0,0,0,0,0.7,0,0,0,0,0.27,91.4,120.9,0.94,0.13,967,0.7,355,1.8,,,,,,,,,,,,,,,,,,
2017,1,2,6,30,1.8,0.71,0.076,0.67,0,0,0,0,0,0.8,0,0,0,0,0.269,92.88,107.97,0.94,0.13,968,0.7,356,1.9,,,,,,,,,,,,,,,,,,
2017,1,2,7,30,2.5,0.68,0.075,0.67,0,0,0,0,0,0.8,0,0,0,0,0.268,88.64,95.42,0.94,0.13,968,0.7,268,2.2,,,,,,,,,,,,,,,,,,
2017,1,2,8,30,5.7,0.66,0.073,0.67,39,406,86,0,0,0.9,39,406,0,86,0.268,71.3,83.33,0.94,0.13,969,0.7,7,3.3,,,,,,,,,,,,,,,,,,
2017,1,2,9,30,8.9,0.63,0.071,0.67,68,719,286,0,0,1.1,68,719,0,286,0.268,57.92,72.34,0.93,0.13,969,0.8,32,3.3,,,,,,,,,,,,,,,,,,
2017,1,2,10,30,11.6,0.61,0.069,0.67,83,851,474,0,0,1,83,851,0,474,0.268,48.33,62.67,0.93,0.13,969,0.8,62,3.5,,,,,,,,,,,,,,,,,,
2017,1,2,11,30,13.1,0.6,0.067,0.67,91,915,614,0,0,0.6,91,915,0,614,0.268,42.36,55.14,0.93,0.13,969,0.8,74,3.6,,,,,,,,,,,,,,,,,,
2017,1,2,12,30,14,0.59,0.065,0.67,94,945,693,0,0,0,94,945,0,693,0.268,38.43,50.7,0.93,0.13,968,0.8,78,3.4,,,,,,,,,,,,,,,,,,
2017,1,2,13,30,14.5,0.57,0.062,0.67,93,951,701,0,1,-0.4,93,951,0,701,0.268,35.98,50.21,0.92,0.13,968,0.8,79,3.3,,,,,,,,,,,,,,,,,,
2017,1,2,14,30,14.7,0.56,0.06,0.67,89,933,640,0,2,-0.8,361,130,0,437,0.268,34.46,53.77,0.92,0.13,967,0.8,79,3.2,,,,,,,,,,,,,,,,,,
2017,1,2,15,30,14.4,0.56,0.059,0.67,81,883,514,0,2,-1.2,254,31,0,269,0.269,34.24,60.67,0.92,0.13,967,0.8,78,3.1,,,,,,,,,,,,,,,,,,
2017,1,2,16,30,13.4,0.56,0.058,0.67,68,780,336,0,4,-1.4,114,0,0,114,0.269,35.98,69.91,0.92,0.13,967,0.8,76,2.9,,,,,,,,,,,,,,,,,,
2017,1,2,17,30,11.1,0.56,0.057,0.67,45,540,133,0,2,-1,16,0,0,16,0.269,43.06,80.65,0.92,0.13,967,0.8,78,2.1,,,,,,,,,,,,,,,,,,
2017,1,2,18,30,8.4,0.58,0.055,0.67,0,0,0,0,1,-0.8,0,0,0,0,0.27,52.3,92.53,0.92,0.13,967,0.8,81,1.7,,,,,,,,,,,,,,,,,,
2017,1,2,19,30,7.5,0.6,0.053,0.67,0,0,0,0,0,-0.7,0,0,0,0,0.271,56.22,104.97,0.92,0.13,968,0.8,81,1.8,,,,,,,,,,,,,,,,,,
2017,1,2,20,30,6.6,0.62,0.051,0.67,0,0,0,0,0,-0.4,0,0,0,0,0.271,61.04,117.82,0.92,0.13,969,0.8,80,1.6,,,,,,,,,,,,,,,,,,
2017,1,2,21,30,5.9,0.65,0.05,0.67,0,0,0,0,0,-0.2,0,0,0,0,0.27,65.09,130.96,0.92,0.13,969,0.8,78,1.4,,,,,,,,,,,,,,,,,,
2017,1,2,22,30,5.4,0.67,0.049,0.67,0,0,0,0,0,0,0,0,0,0,0.27,68.14,144.25,0.92,0.13,969,0.9,73,1.3,,,,,,,,,,,,,,,,,,
2017,1,2,23,30,5.2,0.68,0.048,0.67,0,0,0,0,0,0.1,0,0,0,0,0.27,69.61,157.59,0.92,0.13,969,0.9,65,1.2,,,,,,,,,,,,,,,,,,
2017,1,3,0,30,5.1,0.7,0.048,0.67,0,0,0,0,0,0.2,0,0,0,0,0.27,70.47,170.56,0.92,0.13,969,0.9,54,1.1,,,,,,,,,,,,,,,,,,
2017,1,3,1,30,5,0.71,0.048,0.67,0,0,0,0,0,0.2,0,0,0,0,0.27,71.23,173.34,0.92,0.13,969,0.9,41,1,,,,,,,,,,,,,,,,,,
2017,1,3,2,30,4.8,0.72,0.048,0.67,0,0,0,0,1,0.3,0,0,0,0,0.27,72.45,160.81,0.92,0.13,969,0.9,25,0.9,,,,,,,,,,,,,,,,,,
2017,1,3,3,30,4.3,0.72,0.049,0.67,0,0,0,0,0,0.3,0,0,0,0,0.27,75.17,147.49,0.92,0.13,968,0.9,98,1,,,,,,,,,,,,,,,,,,
2017,1,3,4,30,3.9,0.73,0.049,0.67,0,0,0,0,0,0.3,0,0,0,0,0.269,77.63,134.16,0.92,0.13,969,0.9,357,1.1,,,,,,,,,,,,,,,,,,
2017,1,3,5,30,3.4,0.76,0.048,0.67,0,0,0,0,0,0.4,0,0,0,0,0.269,80.77,120.98,0.92,0.13,969,0.9,355,1.2,,,,,,,,,,,,,,,,,,
2017,1,3,6,30,2.9,0.8,0.047,0.67,0,0,0,0,0,0.5,0,0,0,0,0.27,84.16,108.03,0.92,0.13,969,0.8,354,1.3,,,,,,,,,,,,,,,,,,
2017,1,3,7,30,3.4,0.82,0.046,0.67,0,0,0,0,0,0.6,0,0,0,0,0.27,81.88,95.48,0.92,0.13,970,0.8,355,1.4,,,,,,,,,,,,,,,,,,
2017,1,3,8,30,6.4,0.84,0.046,0.67,34,475,89,0,0,0.7,34,475,0,89,0.269,67,83.37,0.92,0.13,970,0.8,269,2,,,,,,,,,,,,,,,,,,
2017,1,3,9,30,9.6,0.84,0.046,0.67,59,770,292,0,0,0.8,59,770,0,292,0.267,54.23,72.36,0.92,0.13,971,0.8,15,2.2,,,,,,,,,,,,,,,,,,
2017,1,3,10,30,12.1,0.84,0.047,0.67,73,887,480,0,0,0.6,73,887,0,480,0.267,45.4,62.67,0.93,0.13,971,0.8,24,2.3,,,,,,,,,,,,,,,,,,
2017,1,3,11,30,13.5,0.84,0.046,0.67,79,946,621,0,0,0.4,79,946,0,621,0.266,40.67,55.1,0.92,0.13,971,0.8,19,2.4,,,,,,,,,,,,,,,,,,
2017,1,3,12,30,14.5,0.85,0.044,0.67,82,974,700,0,0,0,82,974,0,700,0.266,37.16,50.63,0.92,0.13,970,0.8,15,2.6,,,,,,,,,,,,,,,,,,
2017,1,3,13,30,15.3,0.85,0.043,0.67,82,978,709,0,0,-0.4,82,978,0,709,0.265,34.24,50.1,0.92,0.13,969,0.8,15,2.8,,,,,,,,,,,,,,,,,,
2017,1,3,14,30,15.6,0.83,0.041,0.67,78,962,648,0,0,-0.9,78,962,0,648,0.265,32.41,53.64,0.91,0.13,968,0.8,16,3,,,,,,,,,,,,,,,,,,
2017,1,3,15,30,15.5,0.81,0.04,0.67,71,916,522,0,0,-1.4,71,916,0,522,0.265,31.47,60.52,0.91,0.13,968,0.8,20,3.1,,,,,,,,,,,,,,,,,,
2017,1,3,16,30,14.5,0.78,0.04,0.67,61,819,344,0,0,-1.8,61,819,0,344,0.266,32.53,69.76,0.91,0.13,968,0.8,28,3,,,,,,,,,,,,,,,,,,
2017,1,3,17,30,12,0.74,0.04,0.67,41,594,139,0,0,-1.5,41,594,0,139,0.266,39.18,80.51,0.91,0.13,968,0.8,41,2.2,,,,,,,,,,,,,,,,,,
2017,1,3,18,30,9.1,0.72,0.04,0.67,0,0,0,0,0,-1.3,0,0,0,0,0.267,48.3,92.39,0.9,0.13,969,0.7,55,1.9,,,,,,,,,,,,,,,,,,
2017,1,3,19,30,7.9,0.7,0.04,0.67,0,0,0,0,0,-1.1,0,0,0,0,0.267,52.81,104.83,0.9,0.13,969,0.7,62,2,,,,,,,,,,,,,,,,,,
2017,1,3,20,30,6.8,0.7,0.04,0.67,0,0,0,0,0,-0.9,0,0,0,0,0.267,57.97,117.69,0.9,0.13,970,0.7,66,1.7,,,,,,,,,,,,,,,,,,
2017,1,3,21,30,6,0.72,0.04,0.67,0,0,0,0,0,-0.7,0,0,0,0,0.268,62.04,130.83,0.91,0.13,970,0.7,69,1.3,,,,,,,,,,,,,,,,,,
2017,1,3,22,30,5.7,0.75,0.04,0.67,0,0,0,0,0,-0.6,0,0,0,0,0.269,63.9,144.13,0.91,0.13,970,0.7,69,1.1,,,,,,,,,,,,,,,,,,
2017,1,3,23,30,5.5,0.77,0.038,0.67,0,0,0,0,0,-0.5,0,0,0,0,0.269,65.16,157.47,0.9,0.13,970,0.7,63,1,,,,,,,,,,,,,,,,,,
2017,1,4,0,30,5.4,0.81,0.036,0.67,0,0,0,0,0,-0.5,0,0,0,0,0.27,65.71,170.42,0.9,0.13,969,0.6,58,0.9,,,,,,,,,,,,,,,,,,
2017,1,4,1,30,5.3,0.84,0.035,0.67,0,0,0,0,0,-0.5,0,0,0,0,0.271,66.26,173.35,0.9,0.13,969,0.6,67,0.7,,,,,,,,,,,,,,,,,,
2017,1,4,2,30,5.1,0.87,0.034,0.67,0,0,0,0,0,-0.5,0,0,0,0,0.272,67.36,160.88,0.9,0.13,968,0.6,93,0.5,,,,,,,,,,,,,,,,,,
2017,1,4,3,30,4.7,0.89,0.033,0.67,0,0,0,0,0,-0.4,0,0,0,0,0.271,69.69,147.56,0.9,0.13,968,0.6,138,0.4,,,,,,,,,,,,,,,,,,
2017,1,4,4,30,4.2,0.91,0.033,0.67,0,0,0,0,0,-0.3,0,0,0,0,0.27,72.64,134.24,0.9,0.13,967,0.6,188,0.6,,,,,,,,,,,,,,,,,,
2017,1,4,5,30,3.7,0.92,0.033,0.67,0,0,0,0,0,-0.2,0,0,0,0,0.269,75.94,121.04,0.9,0.13,968,0.6,213,0.9,,,,,,,,,,,,,,,,,,
2017,1,4,6,30,2.9,0.92,0.033,0.67,0,0,0,0,0,0,0,0,0,0,0.268,81.06,108.09,0.91,0.13,968,0.6,224,1.1,,,,,,,,,,,,,,,,,,
2017,1,4,7,30,3.1,0.93,0.033,0.67,0,0,0,0,0,0.1,0,0,0,0,0.268,80.55,95.52,0.91,0.13,968,0.6,229,1.3,,,,,,,,,,,,,,,,,,
2017,1,4,8,30,5.9,0.94,0.034,0.67,32,532,93,0,0,0.2,32,532,0,93,0.267,66.82,83.4,0.91,0.13,968,0.5,224,1.8,,,,,,,,,,,,,,,,,,
2017,1,4,9,30,9.2,0.94,0.035,0.67,55,814,302,0,0,-0.1,55,814,0,302,0.267,52.03,72.37,0.91,0.13,969,0.5,197,2.1,,,,,,,,,,,,,,,,,,
2017,1,4,10,30,11.9,0.94,0.036,0.67,67,918,489,0,0,-1.4,67,918,0,489,0.268,39.76,62.65,0.91,0.13,969,0.6,166,2,,,,,,,,,,,,,,,,,,
2017,1,4,11,30,13.5,0.93,0.037,0.67,75,971,631,0,0,-2.3,75,971,0,631,0.268,33.54,55.05,0.91,0.13,968,0.6,160,2,,,,,,,,,,,,,,,,,,
2017,1,4,12,30,14.6,0.92,0.037,0.67,78,996,711,0,0,-2.9,78,996,0,711,0.269,29.75,50.54,0.91,0.13,967,0.6,159,2,,,,,,,,,,,,,,,,,,
2017,1,4,13,30,15.3,0.92,0.037,0.67,78,998,720,0,7,-3.5,292,389,0,543,0.269,27.23,49.99,0.91,0.13,966,0.6,156,1.8,,,,,,,,,,,,,,,,,,
2017,1,4,14,30,15.7,0.91,0.038,0.67,76,979,659,0,0,-4,76,979,0,659,0.27,25.57,53.5,0.91,0.13,966,0.6,151,1.7,,,,,,,,,,,,,,,,,,
2017,1,4,15,30,15.6,0.9,0.038,0.67,71,934,532,0,0,-4.5,71,934,0,532,0.27,24.85,60.38,0.92,0.13,965,0.6,142,1.7,,,,,,,,,,,,,,,,,,
2017,1,4,16,30,14.5,0.89,0.038,0.67,60,840,353,0,0,-4.7,60,840,0,353,0.27,26.16,69.61,0.92,0.13,965,0.6,134,1.7,,,,,,,,,,,,,,,,,,
2017,1,4,17,30,11.9,0.89,0.039,0.67,41,619,145,0,0,-2.8,41,619,0,145,0.269,35.82,80.37,0.92,0.13,965,0.6,132,1.4,,,,,,,,,,,,,,,,,,
2017,1,4,18,30,9.2,0.88,0.041,0.67,0,0,0,0,0,-3,0,0,0,0,0.269,42.18,92.25,0.92,0.13,965,0.6,137,1.7,,,,,,,,,,,,,,,,,,
2017,1,4,19,30,8.2,0.87,0.045,0.67,0,0,0,0,0,-2.9,0,0,0,0,0.268,45.44,104.69,0.92,0.13,966,0.6,143,2,,,,,,,,,,,,,,,,,,
2017,1,4,20,30,7.6,0.85,0.045,0.67,0,0,0,0,5,-2.7,0,0,0,0,0.268,48.19,117.56,0.92,0.13,966,0.6,149,2,,,,,,,,,,,,,,,,,,
2017,1,4,21,30,6.7,0.82,0.042,0.67,0,0,0,0,5,-2.6,0,0,0,0,0.269,51.64,130.7,0.92,0.13,966,0.6,156,1.8,,,,,,,,,,,,,,,,,,
2017,1,4,22,30,5.6,0.78,0.04,0.67,0,0,0,0,4,-2.6,0,0,0,0,0.269,55.62,144,0.91,0.13,965,0.6,163,1.6,,,,,,,,,,,,,,,,,,
2017,1,4,23,30,4.7,0.75,0.038,0.67,0,0,0,0,5,-2.7,0,0,0,0,0.268,58.9,157.33,0.91,0.13,965,0.6,170,1.5,,,,,,,,,,,,,,,,,,
2017,1,5,0,30,4,0.71,0.038,0.67,0,0,0,0,5,-2.8,0,0,0,0,0.268,61.41,170.28,0.91,0.13,965,0.5,179,1.4,,,,,,,,,,,,,,,,,,
2017,1,5,1,30,3.5,0.67,0.039,0.67,0,0,0,0,4,-2.9,0,0,0,0,0.268,63.07,173.36,0.91,0.13,964,0.5,187,1.4,,,,,,,,,,,,,,,,,,
2017,1,5,2,30,3,0.64,0.04,0.67,0,0,0,0,0,-3,0,0,0,0,0.268,64.79,160.94,0.91,0.13,964,0.5,196,1.4,,,,,,,,,,,,,,,,,,
2017,1,5,3,30,2.5,0.63,0.04,0.67,0,0,0,0,0,-3.1,0,0,0,0,0.267,66.4,147.63,0.91,0.13,963,0.5,204,1.4,,,,,,,,,,,,,,,,,,
2017,1,5,4,30,2.2,0.63,0.039,0.67,0,0,0,0,0,-3.3,0,0,0,0,0.267,67.04,134.3,0.91,0.13,963,0.5,212,1.4,,,,,,,,,,,,,,,,,,
2017,1,5,5,30,2,0.65,0.038,0.67,0,0,0,0,0,-3.4,0,0,0,0,0.267,67.23,121.1,0.91,0.13,963,0.5,220,1.4,,,,,,,,,,,,,,,,,,
2017,1,5,6,30,1.8,0.67,0.037,0.67,0,0,0,0,0,-3.6,0,0,0,0,0.267,67.54,108.15,0.91,0.13,963,0.5,225,1.4,,,,,,,,,,,,,,,,,,
2017,1,5,7,30,2.6,0.7,0.035,0.67,0,0,0,0,0,-3.7,0,0,0,0,0.267,63.31,95.56,0.9,0.13,963,0.5,229,1.5,,,,,,,,,,,,,,,,,,
2017,1,5,8,30,5.8,0.72,0.034,0.67,32,535,94,0,0,-3.7,32,535,0,94,0.267,50.63,83.43,0.9,0.13,963,0.4,229,1.9,,,,,,,,,,,,,,,,,,
2017,1,5,9,30,9.1,0.73,0.033,0.67,55,826,305,0,0,-3.8,55,826,0,305,0.267,40.09,72.38,0.9,0.13,963,0.4,211,2.2,,,,,,,,,,,,,,,,,,
2017,1,5,10,30,12,0.73,0.033,0.67,67,939,498,0,0,-4.6,67,939,0,498,0.268,31.1,62.64,0.9,0.13,963,0.4,182,2.4,,,,,,,,,,,,,,,,,,
2017,1,5,11,30,13.8,0.72,0.033,0.67,73,992,643,0,0,-5.4,73,992,0,643,0.269,25.95,55,0.9,0.13,962,0.4,174,2.6,,,,,,,,,,,,,,,,,,
2017,1,5,12,30,15,0.69,0.033,0.67,77,1016,724,0,0,-6.2,77,1016,0,724,0.271,22.59,50.45,0.9,0.13,961,0.4,173,2.7,,,,,,,,,,,,,,,,,,
2017,1,5,13,30,15.9,0.66,0.034,0.67,78,1017,734,0,0,-7,78,1017,0,734,0.271,20.1,49.86,0.9,0.13,960,0.4,175,2.6,,,,,,,,,,,,,,,,,,
2017,1,5,14,30,16.3,0.64,0.034,0.67,75,1000,672,0,0,-7.7,75,1000,0,672,0.272,18.55,53.36,0.9,0.13,959,0.4,177,2.4,,,,,,,,,,,,,,,,,,
2017,1,5,15,30,16.3,0.62,0.035,0.67,70,954,544,0,0,-8.3,70,954,0,544,0.271,17.78,60.23,0.9,0.13,959,0.4,177,2.2,,,,,,,,,,,,,,,,,,
2017,1,5,16,30,15.3,0.61,0.035,0.67,60,862,362,0,0,-8.6,60,862,0,362,0.27,18.44,69.46,0.9,0.13,959,0.4,174,1.8,,,,,,,,,,,,,,,,,,
2017,1,5,17,30,12.4,0.61,0.035,0.67,41,646,151,0,0,-5.3,41,646,0,151,0.27,28.8,80.22,0.9,0.13,959,0.4,166,1.2,,,,,,,,,,,,,,,,,,
2017,1,5,18,30,9.5,0.61,0.035,0.67,0,0,0,0,0,-6.5,0,0,0,0,0.269,31.69,92.11,0.9,0.13,959,0.4,167,1.4,,,,,,,,,,,,,,,,,,
2017,1,5,19,30,8.4,0.6,0.036,0.67,0,0,0,0,0,-7.1,0,0,0,0,0.269,32.66,104.55,0.9,0.13,960,0.4,185,1.4,,,,,,,,,,,,,,,,,,
2017,1,5,20,30,7.4,0.59,0.036,0.67,0,0,0,0,0,-7.3,0,0,0,0,0.269,34.42,117.42,0.9,0.13,960,0.4,214,1.4,,,,,,,,,,,,,,,,,,
2017,1,5,21,30,6.5,0.57,0.037,0.67,0,0,0,0,0,-7.1,0,0,0,0,0.268,37.28,130.56,0.9,0.13,960,0.4,242,1.5,,,,,,,,,,,,,,,,,,
2017,1,5,22,30,5.7,0.56,0.037,0.67,0,0,0,0,0,-6.8,0,0,0,0,0.269,40.33,143.87,0.9,0.13,959,0.4,265,1.7,,,,,,,,,,,,,,,,,,
2017,1,5,23,30,5,0.55,0.038,0.67,0,0,0,0,0,-6.4,0,0,0,0,0.269,43.58,157.2,0.9,0.13,959,0.4,282,2,,,,,,,,,,,,,,,,,,
2017,1,6,0,30,4.5,0.54,0.038,0.67,0,0,0,0,0,-6,0,0,0,0,0.269,46.32,170.13,0.9,0.13,959,0.4,293,2.3,,,,,,,,,,,,,,,,,,
2017,1,6,1,30,4.1,0.53,0.039,0.67,0,0,0,0,0,-5.8,0,0,0,0,0.27,48.36,173.35,0.9,0.13,959,0.4,300,2.6,,,,,,,,,,,,,,,,,,
2017,1,6,2,30,3.9,0.53,0.039,0.67,0,0,0,0,0,-5.8,0,0,0,0,0.27,49.03,161.01,0.9,0.13,959,0.4,302,2.8,,,,,,,,,,,,,,,,,,
2017,1,6,3,30,3.6,0.53,0.04,0.67,0,0,0,0,0,-6,0,0,0,0,0.27,49.35,147.7,0.9,0.13,959,0.4,302,2.9,,,,,,,,,,,,,,,,,,
2017,1,6,4,30,3.4,0.53,0.04,0.67,0,0,0,0,0,-6.2,0,0,0,0,0.271,49.25,134.37,0.9,0.13,959,0.4,301,3,,,,,,,,,,,,,,,,,,
2017,1,6,5,30,3.2,0.53,0.04,0.67,0,0,0,0,0,-6.4,0,0,0,0,0.272,49.26,121.16,0.9,0.13,959,0.4,298,3.1,,,,,,,,,,,,,,,,,,
2017,1,6,6,30,3.1,0.52,0.039,0.67,0,0,0,0,0,-6.6,0,0,0,0,0.274,49,108.2,0.9,0.13,959,0.4,296,3.3,,,,,,,,,,,,,,,,,,
2017,1,6,7,30,3.9,0.52,0.039,0.67,0,0,0,0,0,-6.7,0,0,0,0,0.275,46.1,95.6,0.9,0.13,960,0.4,294,3.8,,,,,,,,,,,,,,,,,,
2017,1,6,8,30,7.2,0.49,0.04,0.67,34,504,91,0,0,-6.5,34,504,0,91,0.276,37.02,83.45,0.9,0.13,960,0.4,294,5.1,,,,,,,,,,,,,,,,,,
2017,1,6,9,30,11,0.44,0.044,0.67,60,796,301,0,0,-6.2,60,796,0,301,0.279,29.32,72.38,0.9,0.13,961,0.4,296,5.1,,,,,,,,,,,,,,,,,,
